,Analytics Desc,English,Hiragana,Kanji,Vocab Set,Example
,,summer time,なつじかん,夏時間,JS 11,
,,fact,じじつ,事実,JS 11,
,,"consicously, deliberately",いしきてきに,意識的に,JS 11,
,,poetically,してきに,詩的に,JS 11,
,,to read aloud,おんどく（する）,音読（する）,JS 11,
,,characteristic,とくちょう,特徴,JS 11,
,,sentence style,ぶんたい,文体,JS 11,
,,plain form,ふつうたい,普通体,JS 11,
,,polite form,ていねいたい,丁寧体,JS 11,
,,"echo, reverberation, the way it sounds",ひびき,響き,JS 11,
,,synonym,どうぎご,同義語,JS 11,
,,impression,いんしょう,印象,JS 11,
,,"restless, fidgety, in a hurry",せわしない,忙しない,JS 11,
,,New Year's resolution,しんねんのほうふ,新年の抱負,JS 11,
,,temple bell rung 108 times on New Year's Eve,じょやのかね,除夜の鐘,JS 11,
,,"worldly desires, evil passions",ぼんのう,煩悩,JS 11,
,,"custom, convention, common practice",かんしゅう,慣習,JS 11,
,,counter for tiny particles,〜つぶ,〜粒,JS 11,
,,front row,ぜんれつ,前列,JS 11,
,,back row,こうれつ,後列,JS 11,
,,to get a leg cramp,あしがつる,足が攣る,JS 11,
,,"legs become sore, to get muscular pain",あしがパンパンになる,足がパンパンになる,JS 11,
,,"to feel comfortable, cozy",いごこちがいい,居心地がいい,,
,,to label someone as,レッテルをはる,レッテルを貼る,,
,,to treat; to entertain (someone),あつかう,扱う,,
,,to reach breaking point,パンクする,パンクする,,
,,priority,ゆうせんじゅんい,優先順位,,
,,"statement, remark, utterance",はつげん,発言,,
,,to feel crushed under intense anxiety,ふあんにおしつぶされそうになる,不安に押し潰されそうになる,,
,,Passageway ,つうろ,通路,,
,,additional,ついか,追加,,
,,"to feel comfortable, cozy",いごこちがいい,居心地がいい,,
,,to label someone as,レッテルをはる,レッテルを貼る,,
,,to treat,あつかう,扱う,,
,,to reach breaking point,パンクする,,,
,,priority,ゆうせんじゅんい,優先順位,,
,,"statement, remark, utterance",はつげん,発言,,
,,"to feel as though you’re about to explode in anger and anxiety, to be triggered",ふあんといかりでばくはつしそうになる,不安と怒りで爆発しそうになる,,
,,to feel crushed under intense anxiety,ふあんにおしつぶされそうになる,不安に押し潰されそうになる,,
,,sincerity,せいい,誠意,,
,,effort,どりょく,努力,,
,,"focus of one’s attention, what one’s looking for, viewpoint",ちゃくがんてん,着眼点,,
,,"art pieces, artwork",びじゅつさくひん,美術作品,,
,,"purposely, daringly, intentionally",あえて,敢えて,,
,,"to continue, to be consistent",けいぞくする,継続する,,
,,interviewer,めんせつかん,面接官,,
,,interviewee,めんせつしゃ,面接者,,
,,negotiation,こうしょう,交渉,,
,,"psychological, mental",しんりてきな,心理的な,,
,,"to explicitly state, to clearly show",めいじする,明示する,,
,,"to reveal one’s true intentions, to show one’s cards",てのうちをみせる,手の内を見せる,,
,,current news,じじニュース,時事ニュース,,
,,Trees of myriad colors adorn the mountains.,いろとりどりのきぎが、やまやまをいろどります,色とりどりの木々が、山々を彩ります,,
,,"custom, convention, common practice",かんしゅう,慣習,,
,,habit,しゅうかん,習慣,,
,,peacock,くじゃく,孔雀,,
,,to look great on instagram,インスタばえする,インスタ映えする,,
,,"landing, disembarkment, landfall",じょうりく,上陸,,
,,dramatic,げきてきな,劇的な,,
,,"to enlarge, to increase in size",ぞうだいする,増大する,,
,,monotony,たんちょうな,単調な,,
,,small town,まち,町,,
,,urban city; street,まち,街,,
,,5th Avenue,ごばんがい,５番街,,
,,paragraph,だんらく,段落,,
,,main point,ようてん,要点,,
,,to sponsor,しゅさいする,主催する,,
,,special compensation,とくべつてあて,特別手当,,
,,to have many challenges ahead,いろいろなかだいがある,色々な課題がある,,
,,Let me take that into consideration. / We’ll get back to you. / We’ll see.,まえむきにけんとうさせていただきます,前向きに検討させて頂きます,,
,,"to nurse a patient, to care for medically",かんびょうする,看病する,,
,,to recover,かいふくする,回復する,,
,,suicide by jumping in front of a train,とびこみじさつ,飛び込み自殺,,
,,discrimiation,さべつ,差別,,
,,"anxiety, worry",ふあん,不安,,
,,Talkative,くちかずがおおい,口数が多い,,
,,"Taciturn, not talkative",くちかずがすくない,口数が少ない,,
,,Number of words,くちかず,口数,,
,,"To soften, to calm down, to put at ease",なごむ,和む,,
,,everyone blooms at their own pace,おうばいとうり,桜梅桃李,,
,,every month,まいげつ/まいつき,毎月,N5,
,,fat,ふとい,太い,N5,
,,"five days, fifth day",いつか,五日,N5,
,,"to appear,to leave",でる,出る,N5,
,,"talk,story",はなし,話,N5,
,,photograph,しゃしん,写真,N5,
,,big,おおきな,大きな,N5,
,,cloudy weather,くもり,曇り,N5,
,,White,しろい,白い,N5,
,,to take time or money,かかる,,N5,
,,"how,in what way",どう,,N5,
,,Western style door,ドア,,N5,
,,a drink,のみもの,飲み物,N5,
,,"to clean, to sweep",そうじする,掃除,N5,
,,very,たいへん,,N5,
,,Time,じかん,時間,N5,
,,midday meal,ひるごはん,昼御飯,N5,
,,shop,みせ,店,N5,
,,Tuesday,かようび,火曜日,N5,
,,day after tomorrow,あさって,,N5,
,,somebody,だれか,誰,N5,
,,yes,ええ,,N5,
,,"strong, durable",じょうぶ,丈夫,N5,
,,truth,ほんとう,,N5,
,,last week,せんしゅう,先週,N5,
,,business shirt,ワイシャツ,,N5,
,,to meet,あう,会う,N5,
,,west,にし,西,N5,
,,Narrow,せまい,狭い,N5,
,,to remember,おぼえる,覚える,N5,
,,to put in,いれる,入れる,N5,
,,street,みち,道,N5,
,,"electricity,electric light",でんき,電気,N5,
,,Student,がくせい,学生,N5,
,,"cooked rice, meal",ごはん,御飯,N5,
,,tape recorder,テープレコーダー,,N5,
,,near,ちかい,近い,N5,
,,Yesterday,きのう,昨日,N5,
,,afterwards,あと,後,N5,
,,"composition, writing",さくぶん,作文,N5,
,,to finish,おわる,終る,N5,
,,more,もっと,,N5,
,,(honorable) older brother,おにいさん,お兄さん,N5,
,,eye,め,目,N5,
,,gate,もん,門,N5,
,,Slippers,スリッパ,,N5,
,,to read,よむ,読む,N5,
,,news,ニュース,,N5,
,,cold to the touch,つめたい,冷たい,N5,
,,map,ちず,地図,N5,
,,School,がっこう,学校,N5,
,,"noisy, annoying",うるさい,煩い,N5,
,,"three days, third day of the month",みっか,三日,N5,
,,embassy,たいしかん,大使館,N5,
,,blue,あおい,青い,N5,
,,station,えき,駅,N5,
,,party,パーティー,,N5,
,,to sit,すわる,座る,N5,
,,two people,ふたり,二人,N5,
,,next year,らいねん,来年,N5,
,,"to fly,to hop",とぶ,飛ぶ,N5,
,,to get up,おきる,起きる,N5,
,,Four,し / よん,四,N5,
,,"I,myself",わたし,私,N5,
,,every night,まいばん,毎晩,N5,
,,eight,はち,八,N5,
,,coffee lounge,きっさてん,喫茶店,N5,
,,two,ふたつ,二つ,N5,
,,roll of film,フィルム,,N5,
,,old (not used for people),ふるい,古い,N5,
,,"two days, second day of the month",ふつか,二日,N5,
,,foreign country,がいこく,外国,N5,
,,everyone,みんな,,N5,
,,garden,にわ,庭,N5,
,,difficult situation,たいへん,,N5,
,,"spacious,wide",ひろい,広い,N5,
,,this person or way,こっち,,N5,
,,pen,ペン,,N5,
,,to put,おく,置く,N5,
,,together,いっしょ,一緒,N5,
,,well then…,じゃ/じゃあ,,N5,
,,bus,バス,,N5,
,,to wash,あらう,洗う,N5,
,,cinema,えいがかん,映画館,N5,
,,after that,それから,,N5,
,,"short,low",ひくい,低い,N5,
,,egg,たまご,卵,N5,
,,"word, language",ことば,言葉,N5,
,,blue,あお,青,N5,
,,"to fall, e.g. rain or snow",ふる,降る,N5,
,,knife,ナイフ,,N5,
,,free time,ひま,暇,N5,
,,candy,あめ,飴,N5,
,,why,なぜ,,N5,
,,ashtray,はいざら,灰皿,N5,
,,to differ,ちがう,違う,N5,
,,Cup,カップ,,N5,
,,intersection,こうさてん,交差点,N5,
,,homework,しゅくだい,宿題,N5,
,,Chinese character,かんじ,漢字,N5,
,,"sweater, jumper",セーター,,N5,
,,underground train,ちかてつ,地下鉄,N5,
,,tape,テープ,,N5,
,,water,みず,水,N5,
,,swimming pool,プール,,N5,
,,hat,ぼうし,帽子,N5,
,,to hold,もつ,持つ,N5,
,,to hand over,わたす,渡す,N5,
,,breakfast,あさごはん,朝御飯,N5,
,,luke warm,ぬるい,温い,N5,
,,jacket,うわぎ,上着,N5,
,,to become,なる,,N5,
,,"sentence,text",ぶんしょう,文章,N5,
,,Nine,ここのつ,九つ,N5,
,,exactly,ちょうど,,N5,
,,famous,ゆうめい,有名,N5,
,,ten thousand,まん,万,N5,
,,Japanese style door,と,戸,N5,
,,village,むら,村,N5,
,,morning,ごぜん,午前,N5,
,,"tie,necktie",ネクタイ,,N5,
,,to call by phone,かける,,N5,
,,before,まえ,前,N5,
,,(humble) older sister,あね,姉,N5,
,,to close something,しめる,閉める,N5,
,,Adult,おとな,大人,N5,
,,money,おかね,お金,N5,
,,one month,ひとつき,一月,N5,
,,Automobile,じどうしゃ,自動車,N5,
,,postage stamp,きって,切手,N5,
,,clear weather,はれ,晴れ,N5,
,,Trousers,ズボン,,N5,
,,"to bathe, to shower",あびる,,N5,
,,And,そうして/そして,,N5,
,,Heater,ストーブ,,N5,
,,western-style clothes,ようふく,洋服,N5,
,,"tree, wood",き,木,N5,
,,name,なまえ,名前,N5,
,,"yet,still",まだ,,N5,
,,to write,かく,書く,N5,
,,thanks,どうも,,N5,
,,friend,ともだち,友達,N5,
,,first of month,ついたち,一日,N5,
,,Ticket,きっぷ,切符,N5,
,,one,ひとつ,一つ,N5,
,,"eight days, eighth day of the month",ようか,八日,N5,
,,one person,ひとり,一人,N5,
,,However,しかし,,N5,
,,metre,メートル,,N5,
,,food,たべもの,食べ物,N5,
,,"to brush teeth, to polish",みがく,磨く,N5,
,,Oneself,じぶん,自分,N5,
,,Fish,さかな,魚,N5,
,,test,テスト,,N5,
,,exit,でぐち,出口,N5,
,,to turn on,つける,,N5,
,,English language,えいご,英語,N5,
,,hot,あつい,暑い,N5,
,,good,いい/よい,,N5,
,,a few,すくない,少ない,N5,
,,postcard,はがき,葉書,N5,
,,Guitar,ギター,,N5,
,,morning,あさ,朝,N5,
,,near,ちかく,近く,N5,
,,east,ひがし,東,N5,
,,middle,なか,中,N5,
,,want,ほしい,欲しい,N5,
,,birthday,たんじょうび,誕生日,N5,
,,thin,ほそい,細い,N5,
,,to lose something,なくす,無くす,N5,
,,"watch,clock",とけい,時計,N5,
,,to go,ゆく,行く,N5,
,,bird,とり,鳥,N5,
,,to open,あける,開ける,N5,
,,spring,はる,春,N5,
,,to bloom,さく,咲く,N5,
,,Sunday,にちようび,日曜日,N5,
,,Woman,おんな,女,N5,
,,"to close, to be closed",しまる,閉まる,N5,
,,over there,あそこ,,N5,
,,to say,いう,言う,N5,
,,Wind,かぜ,風,N5,
,,Girl,おんなのこ,女の子,N5,
,,over there,あっち,,N5,
,,this morning,けさ,今朝,N5,
,,summer,なつ,夏,N5,
,,not very,あまり,,N5,
,,Key,かぎ,,N5,
,,to put on from the shoulders down,きる,着る,N5,
,,"lesson, class work",じゅぎょう,授業,N5,
,,Sky,そら,空,N5,
,,to work,はたらく,働く,N5,
,,next,つぎ,次,N5,
,,"beside,side,width",よこ,横,N5,
,,Voice,こえ,声,N5,
,,person,ひと,人,N5,
,,dining hall,しょくどう,食堂,N5,
,,already,もう,,N5,
,,every year,まいねん/まいとし,毎年,N5,
,,four,よっつ,四つ,N5,
,,pond,いけ,池,N5,
,,to lend,かす,貸す,N5,
,,which of two,どちら,,N5,
,,"notebook,exercise book",ノート,,N5,
,,half,はん,半,N5,
,,telephone,でんわ,電話,N5,
,,entrance,いりぐち,入口,N5,
,,colour,いろ,色,N5,
,,when,いつ,,N5,
,,three,みっつ,三つ,N5,
,,to do,やる,,N5,
,,this evening,こんばん,今晩,N5,
,,year after next,さらいねん,さ来年,N5,
,,"20 years old,20th year",はたち,二十歳,N5,
,,"to enter,to contain",はいる,入る,N5,
,,delicious,おいしい,,N5,
,,please,どうぞ,,N5,
,,hot to the touch,あつい,熱い,N5,
,,black,くろい,黒い,N5,
,,"to wear,to put on trousers",はく,,N5,
,,Quiet,しずか,静か,N5,
,,to swim,およぐ,泳ぐ,N5,
,,rice bowl,ちゃわん,,N5,
,,for what reason,どうして,,N5,
,,Spicy,からい,辛い,N5,
,,to practice,れんしゅうする,練習,N5,
,,Milk,ぎゅうにゅう,牛乳,N5,
,,to sing,うたう,歌う,N5,
,,but,でも,,N5,
,,year before last,おととし,一昨年,N5,
,,box,はこ,箱,N5,
,,same,おなじ,同じ,N5,
,,to be worried,こまる,困る,N5,
,,envelope,ふうとう,封筒,N5,
,,yes,はい,,N5,
,,that over there,あの,,N5,
,,song,うた,歌,N5,
,,there,あちら,,N5,
,,where,どこ,,N5,
,,to be very likeable,だいすき,大好き,N5,
,,Spoon,スプーン,,N5,
,,(honorable) mother,おかあさん,お母さん,N5,
,,who,だれ,誰,N5,
,,camera,カメラ,,N5,
,,seven,ななつ,七つ,N5,
,,"person, way of doing",かた,方,N5,
,,"teacher, doctor",せんせい,先生,N5,
,,newspaper,しんぶん,新聞,N5,
,,who,どなた,,N5,
,,Shoes,くつ,靴,N5,
,,entry hall,げんかん,玄関,N5,
,,(honorable) father,おとうさん,お父さん,N5,
,,fork,フォーク,,N5,
,,afternoon,ごご,午後,N5,
,,to run,はしる,走る,N5,
,,This,この,,N5,
,,yellow,きいろい,黄色い,N5,
,,bathroom,おてあらい,お手洗い,N5,
,,this week,こんしゅう,今週,N5,
,,thing,もの,物,N5,
,,"to play an instrument with strings, including piano",ひく,弾く,N5,
,,library,としょかん,図書館,N5,
,,Foreigner,がいこくじん,外国人,N5,
,,sometimes,ときどき,時々,N5,
,,winter,ふゆ,冬,N5,
,,hotel,ホテル,,N5,
,,Washing,せんたく,洗濯,N5,
,,early,はやい,早い,N5,
,,"bag, basket",かばん,,N5,
,,enjoyable,たのしい,楽しい,N5,
,,Music,おんがく,音楽,N5,
,,long,ながい,長い,N5,
,,Used for comparison.,より、ほう,,N5,
,,television,テレビ,,N5,
,,nose,はな,鼻,N5,
,,six,むっつ,六つ,N5,
,,"to turn,to bend",まがる,曲る,N5,
,,flower,はな,花,N5,
,,dog,いぬ,犬,N5,
,,to arrive at,つく,着く,N5,
,,That,その,,N5,
,,bridge,はし,橋,N5,
,,Stairs,かいだん,階段,N5,
,,next week,らいしゅう,来週,N5,
,,all right,だいじょうぶ,大丈夫,N5,
,,to take something,とる,取る,N5,
,,policeman,けいかん,警官,N5,
,,university,だいがく,大学,N5,
,,evening,ばん,晩,N5,
,,elevator,エレベーター,,N5,
,,"to be, to have (used for people and animals)",いる,居る,N5,
,,house,いえ,家,N5,
,,"length,height",たて,,N5,
,,"late, slow",おそい,遅い,N5,
,,cat,ねこ,猫,N5,
,,to go back,かえる,帰る,N5,
,,now,いま,今,N5,
,,to wait,まつ,待つ,N5,
,,Gram,グラム,,N5,
,,meaning,いみ,意味,N5,
,,All,ぜんぶ,全部,N5,
,,electric train,でんしゃ,電車,N5,
,,Cute,かわいい,,N5,
,,"pretty, clean",きれい,,N5,
,,Shopping,かいもの,買い物,N5,
,,big,おおきい,大きい,N5,
,,green,みどり,緑,N5,
,,radio cassette player,ラジカセ / ラジオカセット,,N5,
,,to buy,かう,買う,N5,
,,to be born,うまれる,生まれる,N5,
,,"foot, leg",あし,足,N5,
,,zero,れい,零,N5,
,,splendid,りっぱ,,N5,
,,pet,ペット,,N5,
,,Gloomy,くらい,暗い,N5,
,,(honorable) wife,おくさん,奥さん,N5,
,,yellow,きいろ,黄色,N5,
,,"to get on,to ride",のる,乗る,N5,
,,this month,こんげつ,今月,N5,
,,"tall, expensive",たかい,高い,N5,
,,"to open, to become open",あく,開く,N5,
,,Wallet,さいふ,財布,N5,
,,"to push, to stamp something",おす,押す,N5,
,,Light,かるい,軽い,N5,
,,medical doctor,いしゃ,医者,N5,
,,unskillful,へた,下手,N5,
,,red,あかい,赤い,N5,
,,this person or way,こちら,,N5,
,,Here,ここ,,N5,
,,short,みじかい,短い,N5,
,,Household,かてい,家庭,N5,
,,over there,そっち,,N5,
,,gradually,だんだん,,N5,
,,behind,うしろ,後ろ,N5,
,,cheap,やすい,安い,N5,
,,slowly,ゆっくりと,,N5,
,,(humble) younger sister,いもうと,妹,N5,
,,to ask,たのむ,頼む,N5,
,,cuisine,りょうり,料理,N5,
,,Sport,スポーツ,,N5,
,,to eat,たべる,食べる,N5,
,,"bustling,busy",にぎやか,賑やか,N5,
,,"again,and",また,,N5,
,,business suit,せびろ,背広,N5,
,,Class,クラス,,N5,
,,Zero,ゼロ,,N5,
,,Skillful,じょうず,上手,N5,
,,page,ページ,,N5,
,,Country,くに,国,N5,
,,letter,てがみ,手紙,N5,
,,taxi,タクシー,,N5,
,,brown,ちゃいろ,茶色,N5,
,,to drink,のむ,飲む,N5,
,,to give,あげる,上げる,N5,
,,Umbrella,かさ,傘,N5,
,,place,ところ,所,N5,
,,Bank,ぎんこう,銀行,N5,
,,which,どっち,,N5,
,,hand,て,手,N5,
,,no,いいえ,,N5,
,,always,いつも,,N5,
,,six,ろく,六,N5,
,,evening,ゆうがた,夕方,N5,
,,young,わかい,若い,N5,
,,bright,あかるい,明い,N5,
,,to blow,ふく,吹く,N5,
,,Such,こんな,,N5,
,,"other, the rest",ほか,,N5,
,,dinner,ゆうはん,夕飯,N5,
,,which,どの,,N5,
,,hundred,ひゃく,百,N5,
,,Kilogram,キロ/キログラム,,N5,
,,to be able to,できる,,N5,
,,far,とおい,遠い,N5,
,,medicine,くすり,薬,N5,
,,Coffee,コーヒー,,N5,
,,to go out,でかける,出かける,N5,
,,weather,てんき,天気,N5,
,,Bicycle,じてんしゃ,自転車,N5,
,,ball-point pen,ボールペン,,N5,
,,restaurant,レストラン,,N5,
,,to take a photo or record a film,とる,撮る,N5,
,,"to erase, to turn off power",けす,消す,N5,
,,match,マッチ,,N5,
,,tomorrow,あした,明日,N5,
,,unpleasant,いや,嫌,N5,
,,Hate,きらい,嫌い,N5,
,,to come,くる,来る,N5,
,,overseas student,りゅうがくせい,留学生,N5,
,,Shirt,シャツ,,N5,
,,to borrow,かりる,借りる,N5,
,,to stroll,さんぽする,散歩,N5,
,,Marriage,けっこん,結婚,N5,
,,summer holiday,なつやすみ,夏休み,N5,
,,hospital,びょういん,病院,N5,
,,toilet,トイレ,,N5,
,,Fruit,くだもの,果物,N5,
,,"(humble) I,myself",わたくし,私,N5,
,,day before yesterday,おととい,一昨日,N5,
,,chair,いす,,N5,
,,beginning,はじめ,初め/始め,N5,
,,This,これ,,N5,
,,Kilometer,キロ/キロメートル,,N5,
,,"near, beside",そば,,N5,
,,Thursday,もくようび,木曜日,N5,
,,Black,くろ,黒,N5,
,,sea,うみ,海,N5,
,,"alcohol, rice wine",おさけ,お酒,N5,
,,Shower,シャワー,,N5,
,,"noon, daytime",ひる,昼,N5,
,,which (of three or more),どれ,,N5,
,,little,ちいさな,小さな,N5,
,,to make,つくる,作る,N5,
,,Three,さん,三,N5,
,,again,もういちど,もう一度,N5,
,,"to stretch out hands, to raise an umbrella",さす,差す,N5,
,,ear,みみ,耳,N5,
,,to disappear,きえる,消える,N5,
,,building,たてもの,建物,N5,
,,to put out,だす,出す,N5,
,,"four days, fouth day of the month",よっか,四日,N5,
,,window,まど,窓,N5,
,,soy sauce,しょうゆ,,N5,
,,"seven days,the seventh day",なのか,七日,N5,
,,to stand,たつ,立つ,N5,
,,table,テーブル,,N5,
,,book,ほん,本,N5,
,,Curry,カレー,,N5,
,,Sugar,さとう,砂糖,N5,
,,Salt,しお,塩,N5,
,,various,いろいろ,,N5,
,,to show,みせる,見せる,N5,
,,Skirt,スカート,,N5,
,,"to see, to watch",みる,見る 観る,N5,
,,every morning,まいあさ,毎朝,N5,
,,to know,しる,知る,N5,
,,powerful,つよい,強い,N5,
,,post office,ゆうびんきょく,郵便局,N5,
,,"to go to bed,to sleep",ねる,寝る,N5,
,,Today,きょう,今日,N5,
,,Aunt,おばさん,伯母さん/叔母さん,N5,
,,every day,まいにち,毎日,N5,
,,Friday,きんようび,金曜日,N5,
,,handkerchief,ハンカチ,,N5,
,,that,あれ,,N5,
,,"grandfather, male senior citizen",おじいさん,伯父/叔父,N5,
,,greengrocer,やおや,八百屋,N5,
,,Saturday,どようび,土曜日,N5,
,,chopsticks,はし,,N5,
,,"town,city",まち,町,N5,
,,Body,からだ,体,N5,
,,"to get off, to descend",おりる,降りる,N5,
,,very,とても,,N5,
,,"health, vitality",げんき,元気,N5,
,,"evening,night",よる,夜,N5,
,,"to line up,to stand in a line",ならぶ,並ぶ,N5,
,,Beef,ぎゅうにく,牛肉,N5,
,,chicken meat,とりにく,とり肉,N5,
,,record,レコード,,N5,
,,Monday,げつようび,月曜日,N5,
,,left hand side,ひだり,左,N5,
,,to cut,きる,切る,N5,
,,to learn,ならう,習う,N5,
,,everyone,みなさん,皆さん,N5,
,,a corner,かど,角,N5,
,,Ten,じゅう とお,十,N5,
,,"to play, to make a visit",あそぶ,遊ぶ,N5,
,,last year,きょねん,去年,N5,
,,"the future, previous",さき,先,N5,
,,to rest,やすむ,休む,N5,
,,radio,ラジオ,,N5,
,,year,とし,年,N5,
,,how,いかが,,N5,
,,to go across,わたる,渡る,N5,
,,Refreshing,すずしい,涼しい,N5,
,,friendly term for policeman,おまわりさん,,N5,
,,head,あたま,頭,N5,
